Class,Title,FLSA,Grade,"Hourly
Minimum","Hourly
Midpoint","Hourly
Maximum","Annual
Minimum","Annual
Midpoint","Annual
Maximum"
8125,Transportation Planning Bureau Chief,EX,XMAP2,$52.43,$71.35,$90.26,"$109,054.40","$148,397.60","$187,740.80"
8122,Transportation Program Manager,EX,MAR20_15,$46.70,$59.01,$71.31,"$97,136.00","$122,730.40","$148,324.80"
400,Treasurer,EX,CONST,,,,,,
404,Treasurer - Invest And Acct Deputy,EX,MAR10_17,$46.47,$58.73,$70.98,"$96,657.60","$122,148.00","$147,638.40"
402,Treasurer Chief Deputy,EX,MAR10_18,$48.27,$61.01,$73.74,"$100,401.60","$126,890.40","$153,379.20"
403,Treasurer Compliance Deputy,EX,MAR10_16,$44.70,$56.47,$68.24,"$92,976.00","$117,457.60","$141,939.20"
401,Treasurer Operations Deputy,EX,MAR10_16,$44.70,$56.47,$68.24,"$92,976.00","$117,457.60","$141,939.20"
405,Treasurer Technology Deputy,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
4811,Treasury Program Specialist I,NEX,7,$23.37,$29.53,$35.68,"$48,609.60","$61,412.00","$74,214.40"
4812,Treasury Program Supervisor II,NEX,MAR5_8,$26.58,$33.58,$40.57,"$55,286.40","$69,836.00","$84,385.60"
4822,Treasury Specialist I,NEX,MAR5_5,$20.36,$25.73,$31.10,"$42,348.80","$53,518.40","$64,688.00"
4823,Treasury Specialist II,NEX,MAR5_6,$22.40,$28.31,$34.22,"$46,592.00","$58,884.80","$71,177.60"
2923,Tree Maintenance Worker,NEX,MAR10_7,$25.71,$32.49,$39.26,"$53,476.80","$67,568.80","$81,660.80"
3609,Urban Design Section Supervisor,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
7560,Urban Forester,EX,MAR20_10,$35.13,$44.39,$53.64,"$73,070.40","$92,320.80","$111,571.20"
8230,Utilities Records Specialist,NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
1454,Utility Billing & Customer Service Manager,EX,33,$40.86,$56.10,$71.34,"$84,988.80","$116,688.00","$148,387.20"
9416,Victim Specialist I,NEX,9,$27.23,$34.43,$41.62,"$56,638.40","$71,604.00","$86,569.60"
9150,Victim Specialist II,NEX,10,$29.27,$36.98,$44.69,"$60,881.60","$76,918.40","$92,955.20"
1627,Video Production Manager,EX,MAR10_15,$42.81,$54.09,$65.37,"$89,044.80","$112,507.20","$135,969.60"
7004,Virtual Library Services Manager,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
4321,Wage Compliance Administrator,EX,53,$30.74,$45.90,$61.05,"$63,939.20","$95,461.60","$126,984.00"
1310,Warehouse Coordinator,NEX,7,$23.37,$29.53,$35.68,"$48,609.60","$61,412.00","$74,214.40"
1321,Warehouse Supervisor,NEX,8,$25.30,$31.96,$38.62,"$52,624.00","$66,476.80","$80,329.60"
1326,Warehouse Technician I,NEX,5,$19.39,$24.50,$29.60,"$40,331.20","$50,949.60","$61,568.00"
2662,Wastewater Maintenance Technician,NEX,MAR5_9,$28.60,$36.16,$43.71,"$59,488.00","$75,202.40","$90,916.80"
203,"Water, Sewer and Streets Bureau Chief",EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
3750,Watershed Programs Manager,EX,MAP_A,$52.82,$66.73,$80.64,"$109,865.60","$138,798.40","$167,731.20"
1009,Web Developer,EX,MAR25_11,$39.12,$49.45,$59.77,"$81,369.60","$102,845.60","$124,321.60"
2431,Welder,NEX,MAR10_7,$25.71,$32.49,$39.26,"$53,476.80","$67,568.80","$81,660.80"
6687,WIC Program Supervisor,EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
2605,WPCP Operations Specialist,EX,MAR25_11,$39.12,$49.45,$59.77,"$81,369.60","$102,845.60","$124,321.60"
2973,WSS Chief Support Engineer,EX,MAP_A,$52.82,$66.73,$80.64,"$109,865.60","$138,798.40","$167,731.20"
2350,WSS Control Center Technician I,NEX,MAR20_6,$25.60,$32.36,$39.11,"$53,248.00","$67,298.40","$81,348.80"
2355,WSS Control Center Technician II,NEX,MAR20_7,$28.05,$35.44,$42.82,"$58,344.00","$73,704.80","$89,065.60"
2347,WSS Crew Leader,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
2351,WSS Equipment Mechanic I,NEX,MAR25_6,$26.67,$33.71,$40.74,"$55,473.60","$70,106.40","$84,739.20"
2352,WSS Equipment Mechanic II,NEX,MAR25_7,$29.22,$36.92,$44.61,"$60,777.60","$76,783.20","$92,788.80"
2361,WSS Equipment Operator,NEX,50,$25.60,$33.32,$41.04,"$53,248.00","$69,305.60","$85,363.20"
2346,WSS Master Technician,NEX,MAR20_7,$28.05,$35.44,$42.82,"$58,344.00","$73,704.80","$89,065.60"
2343,WSS Service Technician,NEX,MAR20_5,$23.27,$29.41,$35.54,"$48,401.60","$61,162.40","$73,923.20"
2342,WSS Service Technician-Trainee,NEX,MAR20_4,$20.85,$26.34,$31.82,"$43,368.00","$54,776.80","$66,185.60"
2345,WSS Sr Service Technician,NEX,MAR20_6,$25.60,$32.36,$39.11,"$53,248.00","$67,298.40","$81,348.80"
3123,Zoning Counter Services Manager,EX,MAR20_13,$42.32,$53.47,$64.61,"$88,025.60","$111,207.20","$134,388.80"
311,Zoning Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
5301,Zoning Inspection Supervisor,EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
5610,Zoning Inspector I,NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
5611,Zoning Inspector II,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
3105,Zoning Plan Review Services Manager,EX,MAR20_14,$44.54,$56.28,$68.02,"$92,643.20","$117,062.40","$141,481.60"
3151,Zoning Plan Reviewer,NEX,MAR15_9,$31.33,$39.60,$47.87,"$65,166.40","$82,368.00","$99,569.60"
3615,"Zoning Policy, Research & Info Mgt Section Supervisor",EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
3111,Zoning Technician,NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
